"disaster subgroup","disaster subtype","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
Biological,--,NER,Niger,1,12,5,0,0,5,0
Biological,"Bacterial diseas",CMR,Cameroon,1,77,1680,0,0,1680,0
Biological,"Bacterial diseas",GHA,Ghana,1,214,26858,0,0,26858,0
Biological,"Bacterial diseas",NER,Niger,1,8,0,183,0,183,0
Biological,"Bacterial diseas",NGA,Nigeria,1,178,12223,0,0,12223,0
Biological,"Bacterial diseas",SSD,"South Sudan",2,149,5900,586,0,6486,0
Biological,"Viral disease",SLV,"El Salvador",2,4,12906,0,0,12906,0
Biological,"Viral disease",GMB,"Gambia The",1,0,0,0,0,0,0
Biological,"Viral disease",GIN,Guinea,1,1871,2868,0,0,2868,0
Biological,"Viral disease",HTI,Haiti,1,0,68111,0,0,68111,0
Biological,"Viral disease",LBR,Liberia,1,3613,8464,0,0,8464,0
Biological,"Viral disease",MLI,Mali,1,6,7,0,0,7,0
Biological,"Viral disease",NGA,Nigeria,1,8,21,0,0,21,0
Biological,"Viral disease",SEN,Senegal,1,0,1,0,0,1,0
Biological,"Viral disease",SLE,"Sierra Leone",1,3108,10273,0,0,10273,0
Biological,"Viral disease",TLS,Timor-Leste,1,2,0,197,0,197,0
Biological,"Viral disease",COD,"Zaire/Congo Dem Rep",1,49,0,17,0,17,0
Climatological,--,CHL,Chile,1,12,17500,500,0,18000,34000
Climatological,Drought,BOL,Bolivia,1,0,51180,0,0,51180,0
Climatological,Drought,BRA,Brazil,1,0,0,0,0,0,5000000
Climatological,Drought,BFA,"Burkina Faso",1,0,4000000,0,0,4000000,0
Climatological,Drought,CHN,"China P Rep",1,0,27500000,0,0,27500000,0
Climatological,Drought,GTM,Guatemala,1,0,1180000,0,0,1180000,58000
Climatological,Drought,HND,Honduras,1,0,931555,0,0,931555,0
Climatological,Drought,JAM,Jamaica,1,0,91545,0,0,91545,0
Climatological,Drought,KEN,Kenya,1,0,1600000,0,0,1600000,0
Climatological,Drought,MYS,Malaysia,1,0,2200000,0,0,2200000,0
Climatological,Drought,PAK,Pakistan,1,248,0,0,0,0,18000
Climatological,Drought,SOM,Somalia,1,0,350000,0,0,350000,0
Climatological,Drought,LKA,"Sri Lanka",1,0,1800000,0,0,1800000,25000
Climatological,Drought,THA,Thailand,1,0,0,0,0,0,0
Climatological,Drought,USA,"United States",1,0,0,0,0,0,4000000
Climatological,"Forest fire",USA,"United States",1,2,429,0,0,429,100000
Climatological,"Land fire (Brush",AUS,Australia,1,2,0,0,168,168,25000
Geophysical,--,JPN,Japan,1,62,0,69,0,69,0
Geophysical,--,PHL,Philippines,1,0,60545,0,0,60545,0
Geophysical,"Ash fall",IDN,Indonesia,2,39,115088,72,0,115160,186000
Geophysical,"Ash fall",PNG,"Papua New Guinea",1,0,1380,0,0,1380,0
Geophysical,"Ground movement",DZA,Algeria,1,6,0,420,0,420,0
Geophysical,"Ground movement",CHL,Chile,2,12,1027224,0,0,1027224,200000
Geophysical,"Ground movement",CHN,"China P Rep",7,737,2431778,3874,0,2435652,6325000
Geophysical,"Ground movement",COM,Comoros,1,0,10000,0,0,10000,0
Geophysical,"Ground movement",ECU,Ecuador,1,3,0,18,0,18,0
Geophysical,"Ground movement",GRC,Greece,2,3,77000,25,0,77025,450000
Geophysical,"Ground movement",GTM,Guatemala,1,1,53611,274,9940,63825,0
Geophysical,"Ground movement",IRN,"Iran Islam Rep",2,1,85300,90,0,85390,44000
Geophysical,"Ground movement",JPN,Japan,1,0,2466,46,99,2611,0
Geophysical,"Ground movement",MEX,Mexico,2,3,27381,0,0,27381,0
Geophysical,"Ground movement",NIC,Nicaragua,1,2,2375,266,0,2641,0
Geophysical,"Ground movement",PER,Peru,1,8,600,4,0,604,0
Geophysical,"Ground movement",ZAF,"South Africa",1,1,2000,2,0,2002,0
Geophysical,"Ground movement",THA,Thailand,1,1,17500,23,0,17523,62000
Geophysical,"Ground movement",TUR,Turkey,1,0,0,324,0,324,0
Geophysical,"Ground movement",USA,"United States",1,1,3360,172,0,3532,1000000
Geophysical,"Lava flow",CPV,"Cape Verde Is",1,0,980,0,0,980,0
Hydrological,--,ARG,Argentina,2,27,5553,0,0,5553,0
Hydrological,--,CHN,"China P Rep",1,24,150000,0,0,150000,483000
Hydrological,--,IRN,"Iran Islam Rep",1,37,440000,0,0,440000,49000
Hydrological,--,LKA,"Sri Lanka",1,38,0,0,330,330,0
Hydrological,Avalanche,NPL,Nepal,1,16,0,0,0,0,0
Hydrological,"Coastal flood",KIR,Kiribati,1,0,220,0,0,220,0
Hydrological,"Coastal flood",MHL,"Marshall Is",1,0,360,0,0,360,0
Hydrological,"Flash flood",AFG,Afghanistan,2,512,140000,135,10000,150135,0
Hydrological,"Flash flood",BIH,Bosnia-Hercegovenia,1,0,0,0,0,0,0
Hydrological,"Flash flood",BDI,Burundi,1,96,0,182,12500,12682,0
Hydrological,"Flash flood",CHN,"China P Rep",1,27,150000,0,0,150000,487000
Hydrological,"Flash flood",HRV,Croatia,1,0,2000,0,0,2000,0
Hydrological,"Flash flood",DOM,"Dominican Rep",1,1,300,0,0,300,0
Hydrological,"Flash flood",GRC,Greece,1,0,0,0,0,0,0
Hydrological,"Flash flood",HTI,Haiti,1,12,30000,0,0,30000,0
Hydrological,"Flash flood",KAZ,Kazakhstan,1,5,2700,9,0,2709,0
Hydrological,"Flash flood",KOR,"Korea Rep",1,13,0,0,0,0,0
Hydrological,"Flash flood",MOZ,Mozambique,1,5,300,0,0,300,0
Hydrological,"Flash flood",PHL,Philippines,1,4,3770,0,0,3770,0
Hydrological,"Flash flood",PRI,"Puerto Rico",1,1,0,0,0,0,0
Hydrological,"Flash flood",SRB,Serbia,1,4,7000,0,0,7000,0
Hydrological,"Flash flood",SWZ,Swaziland,1,11,400,0,0,400,0
Hydrological,"Flash flood",TJK,Tajikistan,2,20,12760,38,425,13223,0
Hydrological,"Flash flood",TZA,"Tanzania Uni Rep",1,3,20000,0,0,20000,0
Hydrological,"Flash flood",THA,Thailand,1,0,12000,0,0,12000,0
Hydrological,"Flash flood",USA,"United States",1,0,0,0,0,0,90000
