Member State,State aid measure,EUR_billion,As a percentage of 2011 GDP,Year
Belgium,Recapitalisation measures,20.4,5.5,12/31/11
Bulgaria,Recapitalisation measures,0,0.0,12/31/11
Czech Republic,Recapitalisation measures,0,0.0,12/31/11
Denmark,Recapitalisation measures,10.77,4.5,12/31/11
Germany,Recapitalisation measures,63.24,2.5,12/31/11
Estonia,Recapitalisation measures,0,0.0,12/31/11
Ireland,Recapitalisation measures,62.78,40.1,12/31/11
Greece,Recapitalisation measures,6.3,2.9,12/31/11
Spain,Recapitalisation measures,19.31,1.8,12/31/11
France,Recapitalisation measures,22.46,1.1,12/31/11
Italy,Recapitalisation measures,4.05,0.3,12/31/11
Cyprus,Recapitalisation measures,0,0.0,12/31/11
Latvia,Recapitalisation measures,0.51,2.5,12/31/11
Lithuania,Recapitalisation measures,0,0.0,12/31/11
Luxembourg,Recapitalisation measures,2.6,6.1,12/31/11
Hungary,Recapitalisation measures,0.11,0.1,12/31/11
Malta,Recapitalisation measures,0,0.0,12/31/11
Netherlands,Recapitalisation measures,18.86,3.1,12/31/11
Austria,Recapitalisation measures,7.38,2.5,12/31/11
Poland,Recapitalisation measures,0,0.0,12/31/11
Portugal,Recapitalisation measures,0,0.0,12/31/11
Romania,Recapitalisation measures,0,0.0,12/31/11
Slovenia,Recapitalisation measures,0.25,0.7,12/31/11
Slovakia,Recapitalisation measures,0,0.0,12/31/11
Finland,Recapitalisation measures,0,0.0,12/31/11
Sweden,Recapitalisation measures,0.78,0.2,12/31/11
United Kingdom,Recapitalisation measures,82.39,4.7,12/31/11
Belgium,Guarantees (1),44.23,12.0,12/31/11
Bulgaria,Guarantees (1),0,0.0,12/31/11
Czech Republic,Guarantees (1),0,0.0,12/31/11
Denmark,Guarantees (1),145,60.6,12/31/11
Germany,Guarantees (1),135.03,5.3,12/31/11
Estonia,Guarantees (1),0,0.0,12/31/11
Ireland,Guarantees (1),284.25,181.7,12/31/11
Greece,Guarantees (1),56.3,26.2,12/31/11
Spain,Guarantees (1),62.2,5.8,12/31/11
France,Guarantees (1),92.73,4.6,12/31/11
Italy,Guarantees (1),10.9,0.7,12/31/11
Cyprus,Guarantees (1),2.83,15.9,12/31/11
Latvia,Guarantees (1),0.54,2.7,12/31/11
Lithuania,Guarantees (1),0,0.0,12/31/11
Luxembourg,Guarantees (1),1.65,3.8,12/31/11
Hungary,Guarantees (1),0.01,0.0,12/31/11
Malta,Guarantees (1),0,0.0,12/31/11
